id,description,category
1,NEFT-N123456789-RENT APRIL 2025-LANDLORD SANJAY,Rent
2,UPI/DR/418291029381/houseowner@okhdfcbank/Monthly House Rent,Rent
3,IMPS-512345678901-RENT PAYMENT GREENWOOD APTS,Rent
4,RTGS/KKBK1234567/FLAT RENT TO OWNER SHARMA,Rent
5,CHQ PAID TO SUNITA RAO RENT FOR MAY,Rent
6,UPI-NOBROKER-nobroker@icici-RENT PAYMENT,Rent
7,UPI-HOUSING-housing@axisbank-FLAT 402 RENT,Rent
8,NEFT-RENT PAYMENT FOR PRESTIGE SHANTINIKETAN 1204,Rent
9,TRANSFER TO LANDLORD SANJAY GUPTA RENT,Rent
10,UPI/DR/123456789012/landlord@sbi/Apartment Rent April,Rent
11,NEFT/N102938475/RENT FOR FLAT 301 BRIGADE GATEWAY,Rent
12,IMPS/P2A/991827364512/RENT PAYMENT RAJESH IYER,Rent
13,UPI/DR/881920394857/rentpay@hdfcbank/Sobha Forest View Rent,Rent
14,STANDING INSTR RENT TRF MR ANAND VERMA,Rent
15,RTGS/UTIBR520240401/FLAT 5B GODREJ WOODS RENT,Rent
16,UPI-MYGATE-mygate@icici-Monthly Maintenance and Rent,Rent
17,NEFT-RENT ADVANCE FOR GODREJ HORIZON B204,Rent
18,IMPS-HOUSE RENT MONTHLY PAYMENT TO OWNER RAJESH,Rent
19,UPI/DR/201928374651/flatowner@ybl/House Rent June 2025,Rent
20,NEFT/RENT TO SMT LAKSHMI DEVI APARTMENT LEASE,Rent
21,CHQ CLG - APARTMENT MONTHLY RENT CHQ 40921,Rent
22,UPI/DR/992233445566/nobrokerhood@icici/House Rent Payment,Rent
23,NEFT-TRANSFER FOR RENT OF VILLA 24 PALM MEADOWS,Rent
24,IMPS/HOUSE RENT/MRS ANITA DESHMUKH/IMPS9988,Rent
25,UPI-RENTOMANIA-rent@okaxis-Residential Rent Payment,Rent
26,RTGS-PURVA FOUNTAIN SQUARE FLAT 802 RENT PAYMENT,Rent
27,NEFT/RENT MAY 2025/MANOJ KUMAR HOUSE OWNER,Rent
28,UPI/DR/334455667788/landlady@kotak/Rental dues for May,Rent
29,IMPS-RENT DEPOSIT BALANCE TO OWNER MR SURESH,Rent
30,STANDING INSTR TRF RENT TO HDFC A/C 50100987123,Rent
31,UPI-RENT TRANSFER TO DEEPAK CHAUHAN-flat304@sbi,Rent
32,NEFT/SALARPURIA SATTVA RENT PMT JUNE 2025,Rent
33,IMPS-RENT TRF TO VENKATESH PRASAD BENGALURU,Rent
34,UPI/DR/556677889900/houselease@icici/Apartment Lease Rent,Rent
35,CHQ PAID TO VIKRAM MEHTA RENT JULY 2025,Rent
36,RTGS-BRIGADE MILLENNIUM FLAT 404 MONTHLY RENT,Rent
37,NEFT-MONTHLY HOUSE RENT FOR PENTHOUSE 1601,Rent
38,UPI/DR/778899112233/propertymanager@axis/Apartment Rent,Rent
39,IMPS/RENT/SNEHA JOSHI FLAT 202 OAKWOOD,Rent
40,TRANSFER TO OWNER ANIL BANSAL RENT FOR APRIL,Rent
41,UPI-MAGICBRICKS-magicbricks@icici-House Rent Online,Rent
42,NEFT-RENT PAYMENT FOR DLF PHASE 5 APARTMENT,Rent
43,IMPS-FLAT 12A TOWER 3 RENT PAYMENT TO SUNIL,Rent
44,UPI/DR/119922883377/landlordrent@paytm/May Rent,Rent
45,RTGS-MONTHLY HOUSE RENT MR ARVIND SWAMY,Rent
46,NEFT-RENT PAYMENT TO DR KULKARNI BANGALORE,Rent
47,IMPS/P2A/RENT PAYMENT/FLAT 703 SILVER SPRINGS,Rent
48,UPI/DR/445566112233/ownerrent@okaxis/House Rent Due,Rent
49,CHQ PAID RENT ADVANCE BALANCE TOWARDS FLAT,Rent
50,NEFT/MONTHLY RENTAL CONSIDERATION APARTMENT 102,Rent
51,UPI-RENT-PAYMENT-rohitlandlord@icici-Rent July,Rent
52,IMPS-RENT TO PRADEEP HEGDE MANIPAL RESIDENCY,Rent
53,NEFT-LEASING FEES AND RENT FOR ROW HOUSE 12,Rent
